fips,state,name,pop2017,age_under_5_2017,age_over_65_2017,median_age_2017,black_2017,native_2017,asian_2017,pac_isl_2017,other_single_race_2017,two_plus_races_2017,hispanic_2017,white_not_hispanic_2017,speak_english_only_2017,women_16_to_50_birth_rate_2017,hs_grad_2017,some_college_2017,bachelors_2017,veterans_2017,mean_work_travel_2017,broadband_2017,computer_2017,households_2017,persons_per_household_2017,per_capita_income_2017,median_household_income_2017,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,uninsured_2017,uninsured_age_under_6_2017,uninsured_age_under_19_2017,uninsured_age_over_74_2017,civilian_labor_force_2017,employed_2017,unemployed_2017,unemployment_rate_2017
1001,Alabama,Autauga County,55504,5.7,14.3,37.8,9.55,0.15,0.47,0.04,0.65,0.84,2.67,75.42,96.2,7.4,87.7,29.1,25,12.6,25.8,76.6,86.2,21054,2.59,27841.7,55317,13.7,17.2,20,8.8,1.1,3.2,0,25909,24908,1001,3.86
1003,Alabama,Baldwin County,212628,5.7,19,42.6,4.77,0.41,0.35,0,0.39,0.82,4.44,83.08,94.5,5.1,90.2,31.6,30.7,11.9,27,74.5,86.9,76133,2.63,27779.85,52562,11.8,19.4,15.9,10.8,2.4,3.5,0.4,91567,87915,3652,3.99
1005,Alabama,Barbour County,25270,5.5,17.4,39.7,24.02,0.1,0.31,0,1.87,0.41,4.21,45.74,94.3,7.2,73.1,25.5,12,8,23.4,57.2,73.4,9191,2.54,17891.73,33368,27.2,56.8,44.9,12.3,4.1,4.6,0,8236,7750,486,5.9
1007,Alabama,Bibb County,22668,5.7,15.1,39.8,11.03,0.18,0,0,0.02,0.42,2.35,74.62,97.8,7.6,82.1,25,13.2,7.4,30,62,74.8,6916,2.97,20572.05,43404,15.2,21.6,25.9,8.1,2.7,1.8,0,8506,8133,373,4.39
1009,Alabama,Blount County,58013,6.1,17.4,40.9,0.79,0.18,0.07,0,0.37,0.85,9.01,87.37,92.3,5.6,79.8,34.4,13.1,9.6,35,65.8,78.2,20690,2.76,21367.39,47412,15.6,29.5,25.3,11,3.9,5.7,0.2,24494,23509,985,4.02
1011,Alabama,Bullock County,10309,5.8,15.2,40.8,37.82,0.52,0.35,0,0.01,0.33,0.33,21.61,97.2,3.5,71.4,21.3,13.4,4.5,29.8,49.4,64.2,3670,2.74,15444.16,29655,28.5,59.7,50.2,14.1,0,1.2,0,4812,4575,237,4.93
1013,Alabama,Butler County,19825,5.9,18.5,40.7,22.43,0.03,0.56,0,0.03,0.74,0.32,52.25,98.5,4.8,81.1,24.5,16.1,8.4,23.2,58.2,68.3,7050,2.81,17014.95,36326,24.4,30.1,34.8,11.4,1.5,2.8,0,8946,8455,491,5.49
1015,Alabama,Calhoun County,114728,5.7,16.5,39.1,10.27,0.18,0.5,0,0.63,1.14,3.57,72.72,95.9,5.2,83.2,33.2,17.9,10.9,24.8,71,82.9,45099,2.49,23609.64,43686,18.6,31.1,26.3,10.4,0.3,1.8,0,45582,43333,2249,4.93
1017,Alabama,Chambers County,33713,6.1,18.6,43,19.67,0.14,0.5,0,0.35,0.49,2.15,56.19,98.6,4.3,80.9,29.1,13.3,9.2,23.6,62.8,72.7,13694,2.44,21079.51,37342,18.8,31.9,28.9,12.2,6,4.7,0,15176,14557,619,4.08
1019,Alabama,Cherokee County,25857,4.5,21,46.1,2.49,0.24,0.1,0,0.1,0.52,1.58,91.78,99,3.8,79.5,28.9,12.5,11.3,26.5,67.5,79.4,10795,2.37,23067.93,40041,16.1,12.8,20.1,9,1.8,3.4,0,11174,10721,453,4.05
1021,Alabama,Chilton County,44067,6.5,15.5,38.9,4.78,0.29,0.21,0,2.19,0.87,7.7,80.37,92.3,7.1,81.8,23.3,15.1,9,32.5,56.6,73.8,16768,2.59,22793.82,43501,19.4,30.9,27.6,14.8,3.7,5.7,1.8,19118,18344,774,4.05
1023,Alabama,Choctaw County,12945,5,21.5,45.8,21.17,0.02,0.03,0,0.03,0.49,0.54,56.26,98.9,4.6,80.1,28.6,11.6,9.2,32.7,52.3,70.4,5463,2.38,20363.87,32122,22.3,25.5,32.8,11,0,1.1,0,4336,4059,277,6.39
1025,Alabama,Clarke County,24083,5.5,18.5,42.2,22.83,0.03,0.26,0.04,0,0.22,0.24,53.02,98.8,2,81.5,24.2,13,6.5,23.9,47.3,58.7,9602,2.53,20099.21,33827,25.3,35.1,30.3,10.9,1.7,1.9,0,7720,7065,655,8.48
1027,Alabama,Clay County,13367,5,19.5,43.8,7.38,0.45,0.02,0,0.09,0.49,3.11,80.2,97.2,4.3,73.3,29.3,10.3,8.7,30.3,66,77.1,5338,2.46,20879.67,37287,19.1,33.6,23.2,13.2,12.5,7.5,0,5721,5471,250,4.37
1029,Alabama,Cleburne County,14900,5.9,18.5,41.7,1.42,0.14,0.27,0,0.17,0.71,2.38,92.66,97,4.2,75.8,26.1,12.4,6.2,33.2,57.8,73.9,5773,2.56,20158.98,37396,19.1,32.8,30.2,14.4,4.3,7.6,0,5742,5486,256,4.46
1031,Alabama,Coffee County,51874,6.2,16,39.3,8.65,0.53,0.65,0,0.43,1.61,6.66,71,93.6,4.1,85.4,33.3,22.7,16.8,21.7,75.3,84.1,19620,2.57,25627.63,49821,16.1,31.5,26,10.5,4.6,4.1,0,20671,19764,907,4.39
1033,Alabama,Colbert County,54500,5.7,18.9,42.5,8.01,0.37,0.25,0.02,0.57,0.99,2.41,78.77,97.3,4.3,83.9,31.4,18.8,9.5,23.1,65.9,80.3,21983,2.46,22915.45,45477,16.8,30.5,24,8.6,2,3.9,0,23092,21889,1203,5.21
1035,Alabama,Conecuh County,12469,6.3,21.1,44.5,23.24,0.08,0.02,0,0.01,0.98,1.83,50.3,98.2,4.3,79,22.3,8.8,7.6,29.6,40.7,51.5,4716,2.67,14814.23,30434,26.4,47.5,39.2,15.7,6.5,7.2,0,4446,4173,273,6.14
1037,Alabama,Coosa County,10754,3.5,21,45.9,16.61,0.04,0,0,0,0.64,0.15,65.27,98.6,5.7,76.8,27.3,11,11.2,29.8,58.2,69.9,4204,2.51,19147.01,34792,14.4,10.3,17.9,10,2,1.7,0,4348,4147,201,4.62
1039,Alabama,Covington County,37092,5.8,20.3,43.4,6.58,0.17,0.21,0.01,0.1,0.61,1.56,83.48,98.6,6.1,82,31,15.5,11,25.2,64.7,74.1,15285,2.41,22146.06,39467,17.6,21.9,24.6,11.8,5,6.7,0.4,15646,14826,820,5.24
1041,Alabama,Crenshaw County,13871,5.7,17.9,41.4,11.8,0.41,0.7,0,0.51,0.85,1.82,71.2,97,7.6,79.3,25.3,16.3,8.6,28.6,57.1,70.5,5358,2.56,20466.8,38937,17.6,28.5,21.5,10.7,0.2,2.7,0.1,6417,6130,287,4.47
1043,Alabama,Cullman County,82755,6,17.8,40.6,0.58,0.21,0.32,0,0.44,0.67,4.24,92.33,95.6,3.2,82.1,31.4,14.9,7.8,26.5,65.2,78.9,31097,2.59,21287.64,40997,16.4,22.5,19.4,13.4,4.5,5.4,0,37637,36239,1398,3.71
1045,Alabama,Dale County,49226,6.6,15.8,37.1,9.72,0.26,0.51,0.01,0.89,1.96,6.06,69.46,95.1,5.7,86,36.6,16.8,18,20.7,69.8,81.3,18825,2.56,22299.61,44711,19.6,33.6,27.1,12.3,2.9,3.3,0,19868,18987,881,4.43
1047,Alabama,Dallas County,39215,6.2,16.3,39.3,35.18,0.02,0.22,0.03,0.11,0.33,1,27.74,98.2,8.2,81.3,30.5,14.2,7.2,22.1,57.7,69.2,16487,2.44,18042.21,30065,31.9,53.8,49.1,12.1,1.4,2,0.4,14935,13811,1124,7.53
