state,county,violent_crime,property_crime,fips_state,fips_county
alabama,autauga,55,384,1,1
alabama,baldwin,163,737,13,9
alabama,bibb,3,69,13,21
alabama,blount,313,812,47,9
alabama,calhoun,18,211,54,13
alabama,chilton,168,715,1,21
alabama,colbert,58,267,1,33
alabama,elmore,60,757,16,39
alabama,etowah,104,526,1,55
alabama,geneva,58,227,1,61
alabama,hale,17,39,48,189
alabama,henry,14,48,51,89
alabama,houston,103,580,48,225
alabama,jefferson,700,2311,55,55
alabama,lauderdale,37,165,47,97
alabama,lawrence,71,356,47,99
alabama,lee,420,1072,51,105
alabama,limestone,154,1015,48,293
alabama,lowndes,68,236,28,87
alabama,madison,380,2074,51,113
alabama,mobile,136,2375,1,97
alabama,montgomery,115,389,51,121
alabama,morgan,143,284,54,65
alabama,russell,45,351,51,167
alabama,shelby,98,690,48,419
alabama,tuscaloosa,215,1363,1,125
alabama,walker,84,587,48,471
alabama,barbour,34,100,54,1
alabama,bullock,6,46,1,11
alabama,butler,33,190,42,19
alabama,chambers,3,89,48,71
alabama,cherokee,48,357,48,73
alabama,choctaw,13,21,40,23
alabama,clarke,40,91,51,43
alabama,cleburne,6,136,5,23
alabama,coffee,23,138,47,31
alabama,coosa,25,157,1,37
alabama,covington,4,46,28,31
alabama,cullman,73,954,1,43
alabama,dale,44,194,1,45
alabama,dallas,109,501,48,113
alabama,dekalb,147,755,47,41
alabama,franklin,30,291,53,21
alabama,greene,32,99,51,79
alabama,lamar,9,67,48,277
alabama,macon,23,152,47,111
alabama,marengo,52,211,1,91
alabama,marion,19,153,54,49
alabama,marshall,102,511,54,51
alabama,monroe,39,108,55,81
alabama,pike,19,88,42,103
alabama,randolph,6,182,54,83
alabama,sumter,15,60,45,85
alabama,talladega,96,720,1,121
alabama,tallapoosa,21,118,1,123
alabama,wilcox,46,123,13,315
alabama,winston,19,83,28,159
arizona,cochise,189,616,4,3
arizona,coconino,105,422,4,5
arizona,maricopa,1389,5411,4,13
arizona,mohave,172,2425,4,15
arizona,pima,650,8851,4,19
arizona,pinal,219,2195,4,21
arizona,yavapai,249,1153,4,25
arizona,yuma,149,1001,8,125
arizona,graham,8,130,37,75
arizona,greenlee,1,51,4,11
arizona,navajo,85,441,4,17
arkansas,benton,125,712,53,5
arkansas,cleveland,11,94,40,27
arkansas,craighead,51,296,5,31
arkansas,crawford,30,299,55,23
arkansas,crittenden,143,275,21,55
arkansas,faulkner,116,941,5,45
arkansas,garland,296,1612,5,51
arkansas,grant,46,185,55,43
arkansas,jefferson,71,428,55,55
arkansas,lincoln,5,66,56,23
arkansas,little river,27,122,5,81
arkansas,lonoke,85,426,5,85
arkansas,madison,39,137,51,113
arkansas,miller,24,319,29,131
arkansas,perry,41,151,47,135
arkansas,pulaski,412,1805,51,155
arkansas,saline,167,838,31,151
arkansas,sebastian,62,222,5,131
arkansas,washington,198,583,55,131
arkansas,arkansas,13,108,5,1
arkansas,ashley,23,235,5,3
arkansas,baxter,73,632,5,5
arkansas,boone,199,320,54,5
arkansas,bradley,8,32,47,11
arkansas,calhoun,15,40,54,13
arkansas,carroll,44,191,51,35
arkansas,chicot,3,59,5,17
arkansas,clark,12,76,55,19
arkansas,clay,9,67,54,15
arkansas,cleburne,88,336,5,23
arkansas,columbia,12,51,55,21
arkansas,conway,50,252,5,29
arkansas,cross,25,143,5,37
arkansas,dallas,2,31,48,113
arkansas,drew,21,114,5,43
arkansas,franklin,68,203,53,21
arkansas,fulton,35,69,42,57
arkansas,greene,33,189,51,79
arkansas,hempstead,35,189,5,57
arkansas,hot spring,38,205,5,59
arkansas,howard,8,42,48,227
arkansas,independence,176,477,5,63
arkansas,izard,35,260,5,65
arkansas,jackson,24,128,55,53
arkansas,johnson,37,217,56,19
arkansas,lawrence,12,61,47,99
arkansas,lee,1,68,51,105
arkansas,logan,20,183,54,45
arkansas,marion,48,325,54,49
arkansas,mississippi,16,254,29,133
arkansas,monroe,2,48,55,81
arkansas,montgomery,10,85,51,121
arkansas,pike,2,53,42,103
arkansas,polk,30,96,55,95
arkansas,pope,79,379,27,121
arkansas,prairie,4,67,30,79
arkansas,randolph,33,173,54,83
arkansas,scott,22,91,51,169
arkansas,searcy,6,52,5,129
arkansas,sevier,24,69,49,41
arkansas,st. francis,25,272,5,123
arkansas,union,49,317,47,173
arkansas,van buren,28,177,47,175
arkansas,white,146,779,47,185
arkansas,woodruff,4,33,5,147
arkansas,yell,63,190,5,149
california,alameda,675,2202,6,1
california,butte,161,1229,46,19
california,contra costa,318,1525,6,13
california,el dorado,206,2003,6,17
california,fresno,1213,3334,6,19
california,imperial,137,641,6,25
california,kern,2187,9086,6,29
california,kings,165,473,36,47
california,los angeles,6118,17336,6,37
california,madera,451,1102,6,39
california,marin,91,776,6,41
california,merced,521,1504,6,47
california,monterey,243,1311,6,53
california,napa,56,217,6,55
california,orange,271,1178,51,137
california,placer,302,1447,6,61
california,riverside,775,7700,6,65
california,sacramento,2612,9224,6,67
california,san benito,51,144,6,69
california,san bernardino,862,5076,6,71
california,san diego,1486,4548,6,73
california,san joaquin,746,2961,6,77
