FIPS_ST,FIPS_CTY,CPOPARST,AG_ARRST,JURFLAG,COVIND,GRNDTOT,P1TOT,P1VLNT,P1PRPTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,OTHASLT,FRGYCNT,FRAUD,EMBEZL,STLNPRP,VANDLSM,WEAPONS,COMVICE,SEXOFF,DRUGTOT,DRGSALE,COCSALE,MJSALE,SYNSALE,OTHSALE,DRGPOSS,COCPOSS,MJPOSS,SYNPOSS,OTHPOSS,GAMBLE,BOOKMKG,NUMBERS,OTGAMBL,OFAGFAM,DUI,LIQUOR,DRUNK,DISORDR,VAGRANT,ALLOTHR,SUSPICN,CURFEW,RUNAWAY
01,001,57135,3,Multiple counties,98.5035,2796,424,68,356,7,4,14,43,30,313,12,1,325,57,82,5,22,23,20,0,8,309,31,4,3,3,21,277,18,173,10,77,0,0,0,0,60,130,19,110,34,0,1168,0,0,0
01,003,207584,14,One cnty,96.2812,14765,1748,491,1257,7,35,130,318,178,1043,30,6,1267,74,337,10,202,164,167,0,81,751,65,24,9,0,32,686,150,234,70,232,0,0,0,0,56,725,660,766,132,1,7625,0,0,0
01,005,26259,5,One cnty,91.3039,881,223,49,174,4,1,16,28,49,116,9,0,123,5,18,3,13,6,21,0,5,54,5,1,1,0,3,49,13,13,2,21,0,0,0,0,7,60,4,55,21,0,263,0,0,0
01,007,22535,4,Multiple counties,90.4619,751,96,36,60,0,7,4,25,14,38,7,0,95,7,9,5,10,11,7,0,8,25,4,0,0,1,3,21,2,3,2,14,0,0,0,0,3,66,15,9,12,0,373,0,0,0
01,009,57565,6,One cnty,97.7122,2172,298,108,190,3,2,14,89,31,136,18,4,214,28,64,2,44,19,9,0,11,121,25,2,4,5,13,97,17,8,16,56,0,0,0,0,4,83,18,81,12,0,1164,0,0,0
01,011,10634,2,One cnty,89.4615,169,42,18,24,4,1,0,12,12,11,1,0,29,1,0,1,2,3,6,0,2,3,1,0,0,0,1,2,0,1,0,1,0,0,0,0,0,22,0,11,15,0,32,0,0,0
01,013,19960,4,Multiple counties,97.4449,1001,295,65,230,4,4,9,48,67,161,2,0,190,4,30,3,8,11,9,0,3,45,2,0,1,1,0,42,12,7,16,6,0,0,0,0,25,34,2,45,34,0,261,0,0,0
01,015,118768,9,Multiple counties,99.3534,4886,1001,304,697,8,17,65,213,125,547,22,4,752,56,135,11,111,72,84,0,13,584,20,6,3,4,7,563,73,105,263,123,0,0,0,0,11,232,56,218,65,0,1485,0,0,0
01,017,34047,4,One cnty,98.5368,2435,269,84,185,4,6,16,57,27,141,17,0,239,12,53,2,39,15,21,0,5,103,9,3,2,1,2,94,25,18,2,49,0,0,0,0,2,78,10,51,25,0,1511,0,0,0
01,019,25753,4,Multiple counties,100.0,1492,187,40,147,6,0,8,26,42,88,16,1,133,10,47,3,20,15,10,0,1,228,21,7,2,0,12,207,37,13,17,140,0,0,0,0,37,51,31,33,14,0,672,0,0,0
