"","state","county","fips","pop","age_under_5","age_over_65","median_age","black","native","asian","pac_isl","other_single_race","two_plus_races","hispanic","white_not_hispanic","speak_english_only","women_16_to_50_birth_rate","hs_grad","some_college","bachelors","veterans","mean_work_travel","broadband","computer","households","persons_per_household","per_capita_income","median_household_income","poverty","poverty_age_under_5","poverty_age_under_18","uninsured","uninsured_age_under_6","uninsured_age_under_19","uninsured_age_over_74","civilian_labor_force","employed","unemployed","unemployment_rate","violent_crime","property_crime","fips_state","fips_county","violent_crime_rate","property_crime_rate","total_crime_rate.state","total_crime_rate.county","total_crime_rate.fips","total_crime_rate.pop","total_crime_rate.age_under_5","total_crime_rate.age_over_65","total_crime_rate.median_age","total_crime_rate.black","total_crime_rate.native","total_crime_rate.asian","total_crime_rate.pac_isl","total_crime_rate.other_single_race","total_crime_rate.two_plus_races","total_crime_rate.hispanic","total_crime_rate.white_not_hispanic","total_crime_rate.speak_english_only","total_crime_rate.women_16_to_50_birth_rate","total_crime_rate.hs_grad","total_crime_rate.some_college","total_crime_rate.bachelors","total_crime_rate.veterans","total_crime_rate.mean_work_travel","total_crime_rate.broadband","total_crime_rate.computer","total_crime_rate.households","total_crime_rate.persons_per_household","total_crime_rate.per_capita_income","total_crime_rate.median_household_income","total_crime_rate.poverty","total_crime_rate.poverty_age_under_5","total_crime_rate.poverty_age_under_18","total_crime_rate.uninsured","total_crime_rate.uninsured_age_under_6","total_crime_rate.uninsured_age_under_19","total_crime_rate.uninsured_age_over_74","total_crime_rate.civilian_labor_force","total_crime_rate.employed","total_crime_rate.unemployed","total_crime_rate.unemployment_rate","total_crime_rate.violent_crime","total_crime_rate.property_crime","total_crime_rate.fips_state","total_crime_rate.fips_county","total_crime_rate.violent_crime_rate","total_crime_rate.property_crime_rate","total_crime_rate.total_crime_rate"
"1","alabama","autauga", 1001,   55504, 5.7,14.3,37.8, 9.55, 0.15, 0.47,0.04, 0.65, 0.84, 2.67,75.42,96.2, 7.4,87.7,29.1,25.0,12.6,25.8,76.6,86.2,  21054,2.59,27842, 55317,13.7,17.2,20.0, 8.8, 1.1, 3.2, 0.0,  25909,  24908,  1001, 3.86,  55,  384, 1,  1,  99.092,6.92e+02,alabama,autauga, 1001,   55504, 5.7,14.3,37.8, 9.55, 0.15, 0.47,0.04, 0.65, 0.84, 2.67,75.42,96.2, 7.4,87.7,29.1,25.0,12.6,25.8,76.6,86.2,  21054,2.59,27842, 55317,13.7,17.2,20.0, 8.8, 1.1, 3.2, 0.0,  25909,  24908,  1001, 3.86,  55,  384, 1,  1,  99.092,6.92e+02, 790.934
"2","alabama","baldwin", 1003,  212628, 5.7,19.0,42.6, 4.77, 0.41, 0.35,0.00, 0.39, 0.82, 4.44,83.08,94.5, 5.1,90.2,31.6,30.7,11.9,27.0,74.5,86.9,  76133,2.63,27780, 52562,11.8,19.4,15.9,10.8, 2.4, 3.5, 0.4,  91567,  87915,  3652, 3.99, 163,  737,13,  9,  76.660,3.47e+02,alabama,baldwin, 1003,  212628, 5.7,19.0,42.6, 4.77, 0.41, 0.35,0.00, 0.39, 0.82, 4.44,83.08,94.5, 5.1,90.2,31.6,30.7,11.9,27.0,74.5,86.9,  76133,2.63,27780, 52562,11.8,19.4,15.9,10.8, 2.4, 3.5, 0.4,  91567,  87915,  3652, 3.99, 163,  737,13,  9,  76.660,3.47e+02, 423.274
"3","alabama","barbour", 1005,   25270, 5.5,17.4,39.7,24.02, 0.10, 0.31,0.00, 1.87, 0.41, 4.21,45.74,94.3, 7.2,73.1,25.5,12.0, 8.0,23.4,57.2,73.4,   9191,2.54,17892, 33368,27.2,56.8,44.9,12.3, 4.1, 4.6, 0.0,   8236,   7750,   486, 5.90,  34,  100,54,  1, 134.547,3.96e+02,alabama,barbour, 1005,   25270, 5.5,17.4,39.7,24.02, 0.10, 0.31,0.00, 1.87, 0.41, 4.21,45.74,94.3, 7.2,73.1,25.5,12.0, 8.0,23.4,57.2,73.4,   9191,2.54,17892, 33368,27.2,56.8,44.9,12.3, 4.1, 4.6, 0.0,   8236,   7750,   486, 5.90,  34,  100,54,  1, 134.547,3.96e+02, 530.273
"4","alabama","bibb", 1007,   22668, 5.7,15.1,39.8,11.03, 0.18, 0.00,0.00, 0.02, 0.42, 2.35,74.62,97.8, 7.6,82.1,25.0,13.2, 7.4,30.0,62.0,74.8,   6916,2.97,20572, 43404,15.2,21.6,25.9, 8.1, 2.7, 1.8, 0.0,   8506,   8133,   373, 4.39,   3,   69,13, 21,  13.235,3.04e+02,alabama,bibb, 1007,   22668, 5.7,15.1,39.8,11.03, 0.18, 0.00,0.00, 0.02, 0.42, 2.35,74.62,97.8, 7.6,82.1,25.0,13.2, 7.4,30.0,62.0,74.8,   6916,2.97,20572, 43404,15.2,21.6,25.9, 8.1, 2.7, 1.8, 0.0,   8506,   8133,   373, 4.39,   3,   69,13, 21,  13.235,3.04e+02, 317.628
"5","alabama","blount", 1009,   58013, 6.1,17.4,40.9, 0.79, 0.18, 0.07,0.00, 0.37, 0.85, 9.01,87.37,92.3, 5.6,79.8,34.4,13.1, 9.6,35.0,65.8,78.2,  20690,2.76,21367, 47412,15.6,29.5,25.3,11.0, 3.9, 5.7, 0.2,  24494,  23509,   985, 4.02, 313,  812,47,  9, 539.534,1.40e+03,alabama,blount, 1009,   58013, 6.1,17.4,40.9, 0.79, 0.18, 0.07,0.00, 0.37, 0.85, 9.01,87.37,92.3, 5.6,79.8,34.4,13.1, 9.6,35.0,65.8,78.2,  20690,2.76,21367, 47412,15.6,29.5,25.3,11.0, 3.9, 5.7, 0.2,  24494,  23509,   985, 4.02, 313,  812,47,  9, 539.534,1.40e+03,1939.221
"6","alabama","bullock", 1011,   10309, 5.8,15.2,40.8,37.82, 0.52, 0.35,0.00, 0.01, 0.33, 0.33,21.61,97.2, 3.5,71.4,21.3,13.4, 4.5,29.8,49.4,64.2,   3670,2.74,15444, 29655,28.5,59.7,50.2,14.1, 0.0, 1.2, 0.0,   4812,   4575,   237, 4.93,   6,   46, 1, 11,  58.202,4.46e+02,alabama,bullock, 1011,   10309, 5.8,15.2,40.8,37.82, 0.52, 0.35,0.00, 0.01, 0.33, 0.33,21.61,97.2, 3.5,71.4,21.3,13.4, 4.5,29.8,49.4,64.2,   3670,2.74,15444, 29655,28.5,59.7,50.2,14.1, 0.0, 1.2, 0.0,   4812,   4575,   237, 4.93,   6,   46, 1, 11,  58.202,4.46e+02, 504.414
"7","alabama","butler", 1013,   19825, 5.9,18.5,40.7,22.43, 0.03, 0.56,0.00, 0.03, 0.74, 0.32,52.25,98.5, 4.8,81.1,24.5,16.1, 8.4,23.2,58.2,68.3,   7050,2.81,17015, 36326,24.4,30.1,34.8,11.4, 1.5, 2.8, 0.0,   8946,   8455,   491, 5.49,  33,  190,42, 19, 166.456,9.58e+02,alabama,butler, 1013,   19825, 5.9,18.5,40.7,22.43, 0.03, 0.56,0.00, 0.03, 0.74, 0.32,52.25,98.5, 4.8,81.1,24.5,16.1, 8.4,23.2,58.2,68.3,   7050,2.81,17015, 36326,24.4,30.1,34.8,11.4, 1.5, 2.8, 0.0,   8946,   8455,   491, 5.49,  33,  190,42, 19, 166.456,9.58e+02,1124.842
"8","alabama","calhoun", 1015,  114728, 5.7,16.5,39.1,10.27, 0.18, 0.50,0.00, 0.63, 1.14, 3.57,72.72,95.9, 5.2,83.2,33.2,17.9,10.9,24.8,71.0,82.9,  45099,2.49,23610, 43686,18.6,31.1,26.3,10.4, 0.3, 1.8, 0.0,  45582,  43333,  2249, 4.93,  18,  211,54, 13,  15.689,1.84e+02,alabama,calhoun, 1015,  114728, 5.7,16.5,39.1,10.27, 0.18, 0.50,0.00, 0.63, 1.14, 3.57,72.72,95.9, 5.2,83.2,33.2,17.9,10.9,24.8,71.0,82.9,  45099,2.49,23610, 43686,18.6,31.1,26.3,10.4, 0.3, 1.8, 0.0,  45582,  43333,  2249, 4.93,  18,  211,54, 13,  15.689,1.84e+02, 199.603
"9","alabama","chambers", 1017,   33713, 6.1,18.6,43.0,19.67, 0.14, 0.50,0.00, 0.35, 0.49, 2.15,56.19,98.6, 4.3,80.9,29.1,13.3, 9.2,23.6,62.8,72.7,  13694,2.44,21080, 37342,18.8,31.9,28.9,12.2, 6.0, 4.7, 0.0,  15176,  14557,   619, 4.08,   3,   89,48, 71,   8.899,2.64e+02,alabama,chambers, 1017,   33713, 6.1,18.6,43.0,19.67, 0.14, 0.50,0.00, 0.35, 0.49, 2.15,56.19,98.6, 4.3,80.9,29.1,13.3, 9.2,23.6,62.8,72.7,  13694,2.44,21080, 37342,18.8,31.9,28.9,12.2, 6.0, 4.7, 0.0,  15176,  14557,   619, 4.08,   3,   89,48, 71,   8.899,2.64e+02, 272.892
"10","alabama","cherokee", 1019,   25857, 4.5,21.0,46.1, 2.49, 0.24, 0.10,0.00, 0.10, 0.52, 1.58,91.78,99.0, 3.8,79.5,28.9,12.5,11.3,26.5,67.5,79.4,  10795,2.37,23068, 40041,16.1,12.8,20.1, 9.0, 1.8, 3.4, 0.0,  11174,  10721,   453, 4.05,  48,  357,48, 73, 185.636,1.38e+03,alabama,cherokee, 1019,   25857, 4.5,21.0,46.1, 2.49, 0.24, 0.10,0.00, 0.10, 0.52, 1.58,91.78,99.0, 3.8,79.5,28.9,12.5,11.3,26.5,67.5,79.4,  10795,2.37,23068, 40041,16.1,12.8,20.1, 9.0, 1.8, 3.4, 0.0,  11174,  10721,   453, 4.05,  48,  357,48, 73, 185.636,1.38e+03,1566.307
"11","alabama","chilton", 1021,   44067, 6.5,15.5,38.9, 4.78, 0.29, 0.21,0.00, 2.19, 0.87, 7.70,80.37,92.3, 7.1,81.8,23.3,15.1, 9.0,32.5,56.6,73.8,  16768,2.59,22794, 43501,19.4,30.9,27.6,14.8, 3.7, 5.7, 1.8,  19118,  18344,   774, 4.05, 168,  715, 1, 21, 381.238,1.62e+03,alabama,chilton, 1021,   44067, 6.5,15.5,38.9, 4.78, 0.29, 0.21,0.00, 2.19, 0.87, 7.70,80.37,92.3, 7.1,81.8,23.3,15.1, 9.0,32.5,56.6,73.8,  16768,2.59,22794, 43501,19.4,30.9,27.6,14.8, 3.7, 5.7, 1.8,  19118,  18344,   774, 4.05, 168,  715, 1, 21, 381.238,1.62e+03,2003.767
"12","alabama","choctaw", 1023,   12945, 5.0,21.5,45.8,21.17, 0.02, 0.03,0.00, 0.03, 0.49, 0.54,56.26,98.9, 4.6,80.1,28.6,11.6, 9.2,32.7,52.3,70.4,   5463,2.38,20364, 32122,22.3,25.5,32.8,11.0, 0.0, 1.1, 0.0,   4336,   4059,   277, 6.39,  13,   21,40, 23, 100.425,1.62e+02,alabama,choctaw, 1023,   12945, 5.0,21.5,45.8,21.17, 0.02, 0.03,0.00, 0.03, 0.49, 0.54,56.26,98.9, 4.6,80.1,28.6,11.6, 9.2,32.7,52.3,70.4,   5463,2.38,20364, 32122,22.3,25.5,32.8,11.0, 0.0, 1.1, 0.0,   4336,   4059,   277, 6.39,  13,   21,40, 23, 100.425,1.62e+02, 262.650
"13","alabama","clarke", 1025,   24083, 5.5,18.5,42.2,22.83, 0.03, 0.26,0.04, 0.00, 0.22, 0.24,53.02,98.8, 2.0,81.5,24.2,13.0, 6.5,23.9,47.3,58.7,   9602,2.53,20099, 33827,25.3,35.1,30.3,10.9, 1.7, 1.9, 0.0,   7720,   7065,   655, 8.48,  40,   91,51, 43, 166.092,3.78e+02,alabama,clarke, 1025,   24083, 5.5,18.5,42.2,22.83, 0.03, 0.26,0.04, 0.00, 0.22, 0.24,53.02,98.8, 2.0,81.5,24.2,13.0, 6.5,23.9,47.3,58.7,   9602,2.53,20099, 33827,25.3,35.1,30.3,10.9, 1.7, 1.9, 0.0,   7720,   7065,   655, 8.48,  40,   91,51, 43, 166.092,3.78e+02, 543.952
"14","alabama","cleburne", 1029,   14900, 5.9,18.5,41.7, 1.42, 0.14, 0.27,0.00, 0.17, 0.71, 2.38,92.66,97.0, 4.2,75.8,26.1,12.4, 6.2,33.2,57.8,73.9,   5773,2.56,20159, 37396,19.1,32.8,30.2,14.4, 4.3, 7.6, 0.0,   5742,   5486,   256, 4.46,   6,  136, 5, 23,  40.268,9.13e+02,alabama,cleburne, 1029,   14900, 5.9,18.5,41.7, 1.42, 0.14, 0.27,0.00, 0.17, 0.71, 2.38,92.66,97.0, 4.2,75.8,26.1,12.4, 6.2,33.2,57.8,73.9,   5773,2.56,20159, 37396,19.1,32.8,30.2,14.4, 4.3, 7.6, 0.0,   5742,   5486,   256, 4.46,   6,  136, 5, 23,  40.268,9.13e+02, 953.020
"15","alabama","coffee", 1031,   51874, 6.2,16.0,39.3, 8.65, 0.53, 0.65,0.00, 0.43, 1.61, 6.66,71.00,93.6, 4.1,85.4,33.3,22.7,16.8,21.7,75.3,84.1,  19620,2.57,25628, 49821,16.1,31.5,26.0,10.5, 4.6, 4.1, 0.0,  20671,  19764,   907, 4.39,  23,  138,47, 31,  44.338,2.66e+02,alabama,coffee, 1031,   51874, 6.2,16.0,39.3, 8.65, 0.53, 0.65,0.00, 0.43, 1.61, 6.66,71.00,93.6, 4.1,85.4,33.3,22.7,16.8,21.7,75.3,84.1,  19620,2.57,25628, 49821,16.1,31.5,26.0,10.5, 4.6, 4.1, 0.0,  20671,  19764,   907, 4.39,  23,  138,47, 31,  44.338,2.66e+02, 310.367
