STATE_FIPS,COUNTY_FIPS,RATE,STATE,COUNTY
1,1,4.0,ALABAMA,AUTAUGA
1,3,4.2,ALABAMA,BALDWIN
1,5,6.0,ALABAMA,BARBOUR
1,7,4.5,ALABAMA,BIBB
1,9,4.1,ALABAMA,BLOUNT
1,11,5.0,ALABAMA,BULLOCK
1,13,5.6,ALABAMA,BUTLER
1,15,5.1,ALABAMA,CALHOUN
1,17,4.2,ALABAMA,CHAMBERS
1,19,4.2,ALABAMA,CHEROKEE
1,21,4.2,ALABAMA,CHILTON
1,23,6.5,ALABAMA,CHOCTAW
1,25,8.7,ALABAMA,CLARKE
1,27,4.4,ALABAMA,CLAY
1,29,4.6,ALABAMA,CLEBURNE
1,31,4.5,ALABAMA,COFFEE
1,33,5.3,ALABAMA,COLBERT
1,35,6.3,ALABAMA,CONECUH
1,37,4.8,ALABAMA,COOSA
1,39,5.3,ALABAMA,COVINGTON
1,41,4.6,ALABAMA,CRENSHAW
1,43,3.8,ALABAMA,CULLMAN
1,45,4.6,ALABAMA,DALE
1,47,7.7,ALABAMA,DALLAS
1,49,4.6,ALABAMA,DEKALB
1,51,3.8,ALABAMA,ELMORE
1,53,5.1,ALABAMA,ESCAMBIA
1,55,4.7,ALABAMA,ETOWAH
1,57,4.8,ALABAMA,FAYETTE
1,59,4.4,ALABAMA,FRANKLIN
1,61,4.4,ALABAMA,GENEVA
1,63,7.7,ALABAMA,GREENE
1,65,6.1,ALABAMA,HALE
1,67,5.0,ALABAMA,HENRY
1,69,4.5,ALABAMA,HOUSTON
1,71,4.9,ALABAMA,JACKSON
1,73,4.4,ALABAMA,JEFFERSON
1,75,4.3,ALABAMA,LAMAR
1,77,4.7,ALABAMA,LAUDERDALE
1,79,5.0,ALABAMA,LAWRENCE
1,81,4.1,ALABAMA,LEE
1,83,4.1,ALABAMA,LIMESTONE
1,85,8.4,ALABAMA,LOWNDES
1,87,5.9,ALABAMA,MACON
1,89,4.0,ALABAMA,MADISON
1,91,5.7,ALABAMA,MARENGO
1,93,4.9,ALABAMA,MARION
1,95,3.9,ALABAMA,MARSHALL
1,97,5.3,ALABAMA,MOBILE
1,99,6.9,ALABAMA,MONROE
1,101,4.4,ALABAMA,MONTGOMERY
1,103,4.2,ALABAMA,MORGAN
1,105,8.0,ALABAMA,PERRY
1,107,5.5,ALABAMA,PICKENS
1,109,5.0,ALABAMA,PIKE
1,111,4.5,ALABAMA,RANDOLPH
1,113,4.4,ALABAMA,RUSSELL
1,115,4.1,ALABAMA,ST. CLAIR
1,117,3.3,ALABAMA,SHELBY
1,119,6.7,ALABAMA,SUMTER
1,121,5.1,ALABAMA,TALLADEGA
1,123,4.3,ALABAMA,TALLAPOOSA
1,125,4.3,ALABAMA,TUSCALOOSA
1,127,5.2,ALABAMA,WALKER
1,129,6.9,ALABAMA,WASHINGTON
1,131,11.7,ALABAMA,WILCOX
1,133,5.1,ALABAMA,WINSTON
2,13,2.3,ALASKA,ALEUTIANS EAST BOROUGH
2,16,3.4,ALASKA,ALEUTIANS WEST CENSUS AREA
2,20,5.4,ALASKA,ANCHORAGE BOROUGH/MUNICIPALITY
2,50,12.7,ALASKA,BETHEL CENSUS AREA
2,60,5.9,ALASKA,BRISTOL BAY BOROUGH
2,68,8.5,ALASKA,DENALI BOROUGH
2,70,8.4,ALASKA,DILLINGHAM CENSUS AREA
2,90,5.7,ALASKA,FAIRBANKS NORTH STAR BOROUGH
2,100,8.3,ALASKA,HAINES BOROUGH
2,105,11.5,ALASKA,HOONAH-ANGOON CENSUS AREA
2,110,4.3,ALASKA,JUNEAU BOROUGH/CITY
2,122,7.7,ALASKA,KENAI PENINSULA BOROUGH
2,130,5.8,ALASKA,KETCHIKAN GATEWAY BOROUGH
2,150,4.7,ALASKA,KODIAK ISLAND BOROUGH
2,158,18.6,ALASKA,KUSILVAK CENSUS AREA
2,164,11.0,ALASKA,LAKE AND PENINSULA BOROUGH
2,170,7.7,ALASKA,MATANUSKA-SUSITNA BOROUGH
2,180,11.4,ALASKA,NOME CENSUS AREA
2,185,6.9,ALASKA,NORTH SLOPE BOROUGH
2,188,15.2,ALASKA,NORTHWEST ARCTIC BOROUGH
2,195,8.6,ALASKA,PETERSBURG BOROUGH
2,198,10.4,ALASKA,PRINCE OF WALES-HYDER CENSUS AREA
2,220,4.2,ALASKA,SITKA BOROUGH/CITY
2,230,9.7,ALASKA,SKAGWAY MUNICIPALITY
2,240,9.6,ALASKA,SOUTHEAST FAIRBANKS CENSUS AREA
2,261,7.2,ALASKA,VALDEZ-CORDOVA CENSUS AREA
2,275,7.2,ALASKA,WRANGELL BOROUGH/CITY
2,282,8.6,ALASKA,YAKUTAT BOROUGH/CITY
2,290,16.6,ALASKA,YUKON-KOYUKUK CENSUS AREA
4,1,10.4,ARIZONA,APACHE
4,3,5.6,ARIZONA,COCHISE
4,5,5.6,ARIZONA,COCONINO
4,7,6.1,ARIZONA,GILA
4,9,5.5,ARIZONA,GRAHAM
4,11,5.1,ARIZONA,GREENLEE
4,12,5.5,ARIZONA,LA PAZ
4,13,4.3,ARIZONA,MARICOPA
4,15,6.0,ARIZONA,MOHAVE
4,17,7.7,ARIZONA,NAVAJO
4,19,4.6,ARIZONA,PIMA
4,21,5.1,ARIZONA,PINAL
4,23,9.6,ARIZONA,SANTA CRUZ
4,25,4.6,ARIZONA,YAVAPAI
4,27,17.2,ARIZONA,YUMA
5,1,3.3,ARKANSAS,ARKANSAS
5,3,5.6,ARKANSAS,ASHLEY
5,5,4.3,ARKANSAS,BAXTER
5,7,3.0,ARKANSAS,BENTON
5,9,3.5,ARKANSAS,BOONE
5,11,4.6,ARKANSAS,BRADLEY
5,13,3.9,ARKANSAS,CALHOUN
5,15,3.4,ARKANSAS,CARROLL
5,17,6.6,ARKANSAS,CHICOT
5,19,3.9,ARKANSAS,CLARK
5,21,4.6,ARKANSAS,CLAY
5,23,5.0,ARKANSAS,CLEBURNE
5,25,4.4,ARKANSAS,CLEVELAND
