StateFIPS,CountyFIPS,Name,Total,Employed,Unemployed
01,001,"Autauga County, AL",25710,24395,1315
01,003,"Baldwin County, AL",89778,84972,4806
01,005,"Barbour County, AL",8334,7638,696
01,007,"Bibb County, AL",8539,7986,553
01,009,"Blount County, AL",24380,23061,1319
01,011,"Bullock County, AL",4785,4457,328
01,013,"Butler County, AL",9116,8484,632
01,015,"Calhoun County, AL",45450,42470,2980
01,017,"Chambers County, AL",14858,14044,814
01,019,"Cherokee County, AL",11241,10671,570
01,021,"Chilton County, AL",19029,17982,1047
01,023,"Choctaw County, AL",4292,3926,366
01,025,"Clarke County, AL",7889,7030,859
01,027,"Clay County, AL",5579,5247,332
01,029,"Cleburne County, AL",5738,5394,344
01,031,"Coffee County, AL",20429,19227,1202
01,033,"Colbert County, AL",23261,21640,1621
01,035,"Conecuh County, AL",4512,4131,381
01,037,"Coosa County, AL",4344,4084,260
01,039,"Covington County, AL",15366,14325,1041
01,041,"Crenshaw County, AL",6401,6024,377
01,043,"Cullman County, AL",37594,35720,1874
01,045,"Dale County, AL",19796,18648,1148
01,047,"Dallas County, AL",15293,13880,1413
01,049,"DeKalb County, AL",28996,27232,1764
01,051,"Elmore County, AL",36921,35161,1760
01,053,"Escambia County, AL",14433,13472,961
01,055,"Etowah County, AL",42914,40372,2542
01,057,"Fayette County, AL",6542,6100,442
01,059,"Franklin County, AL",13752,12941,811
01,061,"Geneva County, AL",10720,10097,623
01,063,"Greene County, AL",2848,2564,284
01,065,"Hale County, AL",5933,5478,455
01,067,"Henry County, AL",6666,6231,435
01,069,"Houston County, AL",44185,41621,2564
01,071,"Jackson County, AL",23390,21911,1479
01,073,"Jefferson County, AL",308632,290887,17745
01,075,"Lamar County, AL",5643,5324,319
01,077,"Lauderdale County, AL",42180,39490,2690
01,079,"Lawrence County, AL",13607,12665,942
01,081,"Lee County, AL",71759,67995,3764
01,083,"Limestone County, AL",40349,38229,2120
01,085,"Lowndes County, AL",3770,3371,399
01,087,"Macon County, AL",7803,7208,595
01,089,"Madison County, AL",172125,163288,8837
01,091,"Marengo County, AL",7608,7063,545
01,093,"Marion County, AL",12394,11572,822
01,095,"Marshall County, AL",41240,39034,2206
01,097,"Mobile County, AL",186230,173856,12374
01,099,"Monroe County, AL",7255,6596,659
01,101,"Montgomery County, AL",104883,98929,5954
01,103,"Morgan County, AL",54413,51395,3018
01,105,"Perry County, AL",3438,3083,355
01,107,"Pickens County, AL",7702,7172,530
01,109,"Pike County, AL",14825,13860,965
01,111,"Randolph County, AL",9350,8827,523
01,113,"Russell County, AL",23338,22038,1300
01,115,"St. Clair County, AL",38757,36745,2012
01,117,"Shelby County, AL",108670,103986,4684
01,119,"Sumter County, AL",5069,4678,391
01,121,"Talladega County, AL",34528,32244,2284
01,123,"Tallapoosa County, AL",18426,17396,1030
01,125,"Tuscaloosa County, AL",98431,92864,5567
01,127,"Walker County, AL",25356,23465,1891
01,129,"Washington County, AL",6686,6109,577
01,131,"Wilcox County, AL",2795,2391,404
01,133,"Winston County, AL",9455,8783,672
02,013,"Aleutians East Borough, AK",2589,2523,66
02,016,"Aleutians West Census Area, AK",3982,3856,126
02,020,"Anchorage Borough/municipality, AK",155471,147254,8217
02,050,"Bethel Census Area, AK",7219,6230,989
02,060,"Bristol Bay Borough, AK",413,385,28
02,068,"Denali Borough, AK",1091,996,95
02,070,"Dillingham Census Area, AK",2073,1881,192
02,090,"Fairbanks North Star Borough, AK",46443,43824,2619
02,100,"Haines Borough, AK",1071,966,105
02,105,"Hoonah-Angoon Census Area, AK",1200,1064,136
02,110,"Juneau Borough/city, AK",17343,16599,744
02,122,"Kenai Peninsula Borough, AK",27123,24906,2217
02,130,"Ketchikan Gateway Borough, AK",7019,6581,438
02,150,"Kodiak Island Borough, AK",6418,6101,317
02,158,"Kusilvak Census Area, AK",2706,2142,564
02,164,"Lake and Peninsula Borough, AK",653,575,78
02,170,"Matanuska-Susitna Borough, AK",47353,43613,3740
02,180,"Nome Census Area, AK",4072,3574,498
02,185,"North Slope Borough, AK",3951,3694,257
02,188,"Northwest Arctic Borough, AK",2950,2496,454
02,195,"Petersburg Borough, AK",1447,1322,125
02,198,"Prince of Wales-Hyder Census Area, AK",2760,2437,323
02,220,"Sitka Borough/city, AK",4373,4179,194
02,230,"Skagway Municipality, AK",803,717,86
02,240,"Southeast Fairbanks Census Area, AK",2990,2681,309
02,261,"Valdez-Cordova Census Area, AK",4802,4406,396
02,275,"Wrangell Borough/city, AK",1053,977,76
02,282,"Yakutat Borough/city, AK",244,224,20
02,290,"Yukon-Koyukuk Census Area, AK",2408,1994,414
04,001,"Apache County, AZ",20418,18042,2376
04,003,"Cochise County, AZ",49799,46647,3152
04,005,"Coconino County, AZ",74484,69930,4554
04,007,"Gila County, AZ",21084,19536,1548
04,009,"Graham County, AZ",14433,13445,988
04,011,"Greenlee County, AZ",3916,3615,301
04,012,"La Paz County, AZ",8506,7983,523
04,013,"Maricopa County, AZ",2088551,1991371,97180
04,015,"Mohave County, AZ",80843,75410,5433
04,017,"Navajo County, AZ",41511,38030,3481
04,019,"Pima County, AZ",471452,447695,23757
04,021,"Pinal County, AZ",164605,155330,9275
04,023,"Santa Cruz County, AZ",19282,17317,1965
04,025,"Yavapai County, AZ",99916,94913,5003
04,027,"Yuma County, AZ",94671,76590,18081
05,001,"Arkansas County, AR",9284,8967,317
05,003,"Ashley County, AR",7966,7477,489
05,005,"Baxter County, AR",16130,15435,695
05,007,"Benton County, AR",128130,124390,3740
05,009,"Boone County, AR",15957,15370,587
05,011,"Bradley County, AR",4491,4265,226
05,013,"Calhoun County, AR",2396,2286,110
05,015,"Carroll County, AR",12891,12432,459
05,017,"Chicot County, AR",3590,3353,237
05,019,"Clark County, AR",9589,9173,416
05,021,"Clay County, AR",6048,5706,342
05,023,"Cleburne County, AR",9500,8935,565
05,025,"Cleveland County, AR",3349,3198,151
05,027,"Columbia County, AR",9313,8781,532
05,029,"Conway County, AR",8468,7983,485
05,031,"Craighead County, AR",52315,50613,1702
